equipo,cp_llenado,cp_inestabilidad,cp_tasa_cambio,areas_cp,registros_cp,cp_llenado_score,cp_inestabilidad_score,cp_tasa_cambio_score,score_final,explicacion,recomendaciones,categoria,posicion
1,7122.33534575635,56.155239882603865,3907.0115830544464,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,81.82,94.55,98.18,91.51666666666665,Llenado: 81.8pts | Estabilidad: 94.5pts | Cambios: 98.2pts,Mantener rendimiento actual,Excelente,1
3,7123.727165868255,72.30637410218338,6436.134940225793,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,85.45,85.45,96.36,89.08666666666667,Llenado: 85.5pts | Estabilidad: 85.5pts | Cambios: 96.4pts,Mantener rendimiento actual,Muy Bueno,2
112,7123.857677079364,137.6337697944642,8100.158058751146,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,87.27,58.18,92.73,79.39333333333333,Llenado: 87.3pts | Estabilidad: 58.2pts | Cambios: 92.7pts,Mantener rendimiento actual,Muy Bueno,3
86,7118.23818961746,54.8223644458322,8477.866107891334,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,45.45,96.36,90.91,77.57333333333332,Llenado: 45.5pts | Estabilidad: 96.4pts | Cambios: 90.9pts,Mejorar ocupación CP,Muy Bueno,4
118,7119.771806456349,89.14559552693567,11422.44120503093,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,65.45,80.0,85.45,76.96666666666667,Llenado: 65.5pts | Estabilidad: 80.0pts | Cambios: 85.5pts,Mantener rendimiento actual,Muy Bueno,5
61,7122.462550697619,135.169698834506,11583.83190599955,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,83.64,60.0,83.64,75.75999999999999,Llenado: 83.6pts | Estabilidad: 60.0pts | Cambios: 83.6pts,Mantener rendimiento actual,Muy Bueno,6
160,7122.28986293492,143.3549590566635,11275.215769756996,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,80.0,54.55,87.27,73.94,Llenado: 80.0pts | Estabilidad: 54.5pts | Cambios: 87.3pts,Mantener rendimiento actual,Bueno,7
116,7120.397297299206,128.10944852809598,11604.353441160503,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,69.09,63.64,81.82,71.51666666666667,Llenado: 69.1pts | Estabilidad: 63.6pts | Cambios: 81.8pts,Mantener rendimiento actual,Bueno,8
110,7118.080737281302,57.88152103351044,12456.053297493989,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,41.82,92.73,78.18,70.91,Llenado: 41.8pts | Estabilidad: 92.7pts | Cambios: 78.2pts,Mejorar ocupación CP,Bueno,9
5,7116.428598599206,42.62672973178868,6454.664659367371,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,16.36,98.18,94.55,69.69666666666666,Llenado: 16.4pts | Estabilidad: 98.2pts | Cambios: 94.5pts,Mejorar ocupación CP,Bueno,10
158,7124.502126984127,193.13279628827618,10989.196367908826,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,89.09,29.09,89.09,69.09,Llenado: 89.1pts | Estabilidad: 29.1pts | Cambios: 89.1pts,Reducir variabilidad CP,Bueno,11
