equipo,hdd_uso,hdd_inestabilidad,hdd_tasa_cambio,unidades_hdd,registros_hdd,hdd_uso_score,hdd_inestabilidad_score,hdd_tasa_cambio_score,score_final,explicacion,recomendaciones,categoria,posicion
139,7.423322598635616,0.0015813407102856585,5.9633185216484375,"['C:', 'E:', 'D:', 'avg', 'A:']",40,98.99,100.0,97.98,98.98999999999998,Uso: 99.0pts | Estabilidad: 100.0pts | Cambios: 98.0pts,Mantener rendimiento actual,Excelente,1
173,8.016534419763838,0.00432164231807849,3.0958288442018733,"['H:', 'I:', 'G:', 'C:', 'E:', 'D:', 'avg']",56,97.98,92.93,98.99,96.63333333333333,Uso: 98.0pts | Estabilidad: 92.9pts | Cambios: 99.0pts,Mantener rendimiento actual,Excelente,2
97,12.570255548643866,0.00260532496168641,12.877514558565371,"['H:', 'F:', 'G:', 'C:', 'E:', 'D:', 'avg']",56,93.94,97.98,84.85,92.25666666666666,Uso: 93.9pts | Estabilidad: 98.0pts | Cambios: 84.8pts,Mantener rendimiento actual,Excelente,3
190,8.298563701388026,0.0033138116033070326,23.628592751913477,"['G:', 'C:', 'E:', 'D:', 'avg']",40,96.97,95.96,77.78,90.23666666666666,Uso: 97.0pts | Estabilidad: 96.0pts | Cambios: 77.8pts,Mantener rendimiento actual,Excelente,4
6,22.29778403220803,0.004093159379430054,11.410829637846863,"['G:', 'C:', 'E:', 'D:', 'avg']",40,85.86,93.94,88.89,89.56333333333333,Uso: 85.9pts | Estabilidad: 93.9pts | Cambios: 88.9pts,Mantener rendimiento actual,Muy Bueno,5
163,26.1178451609441,0.003392810196104845,11.17958760935763,"['F:', 'G:', 'C:', 'E:', 'D:', 'avg']",48,79.8,94.95,89.9,88.21666666666667,Uso: 79.8pts | Estabilidad: 95.0pts | Cambios: 89.9pts,Mantener rendimiento actual,Muy Bueno,6
11,37.86317788450977,0.0022595080078100143,2.6504541913410273,"['G:', 'C:', 'E:', 'D:', 'avg']",40,59.6,98.99,100.0,86.19666666666666,Uso: 59.6pts | Estabilidad: 99.0pts | Cambios: 100.0pts,Mantener rendimiento actual,Muy Bueno,7
189,8.701498276279542,0.005628007929993383,34.5619948567296,"['F:', 'C:', 'E:', 'D:', 'avg']",40,95.96,87.88,69.7,84.51333333333332,Uso: 96.0pts | Estabilidad: 87.9pts | Cambios: 69.7pts,Mantener rendimiento actual,Muy Bueno,8
186,28.354744093302894,0.0032342272959766617,24.9595341565746,"['G:', 'C:', 'E:', 'D:', 'avg']",40,74.75,96.97,76.77,82.82999999999998,Uso: 74.8pts | Estabilidad: 97.0pts | Cambios: 76.8pts,Mantener rendimiento actual,Muy Bueno,9
185,32.464212441453164,0.008320026368589457,6.083886798923513,"['G:', 'C:', 'E:', 'D:', 'avg']",40,68.69,80.81,96.97,82.15666666666667,Uso: 68.7pts | Estabilidad: 80.8pts | Cambios: 97.0pts,Mantener rendimiento actual,Muy Bueno,10
